from,to,similarity
1,2,0.606428249774
1,3,0.6339430814
1,4,0.377312247376
1,5,0.0
1,6,0.439524536496
1,7,0.0690065559342
1,8,0.129271922499
1,9,0.459572515009
1,10,0.421830743866
1,11,0.425628265379
1,12,0.0925820099773
1,13,0.372422649871
1,14,0.210042012604
1,15,0.342997170285
1,16,0.194597437529
1,17,0.0
1,18,0.0
1,19,0.346551640042
1,20,0.234082294392
1,21,0.120385853086
1,22,0.323029141235
1,23,0.329072590857
1,24,0.133556112659
1,25,0.0
1,26,0.240771706172
1,27,0.362738125055
1,28,0.0
1,29,0.361157559257
1,30,0.121267812518
1,31,0.210818510678
1,32,0.0690065559342
1,33,0.30460384954
1,34,0.0
1,35,0.169030850946
1,36,0.0
1,37,0.49193495505
1,38,0.638885507778
1,39,0.313112145543
1,40,0.295803989155
1,41,0.529219850114
1,42,0.0
1,43,0.0826368676758
1,44,0.0
1,45,0.166666666667
1,46,0.120385853086
1,47,0.361157559257
1,48,0.257247877714
1,49,0.40544242704
1,50,0.0
1,51,0.0
1,52,0.0
1,53,0.103142124626
1,54,0.205556612948
1,55,0.245736593591
1,56,0.174371458116
1,57,0.0509426708108
1,58,0.181901718777
1,59,0.299342170045
1,60,0.297745667088
1,61,0.242535625036
1,62,0.411475599899
1,63,0.0428746462856
1,64,0.0
1,65,0.0420424211834
1,66,0.0
1,67,0.145095250022
1,68,0.368964027761
1,69,0.448561304016
1,70,0.0422577127364
1,71,0.264705882353
1,72,0.318446935461
1,73,0.210042012604
1,74,0.257247877714
1,75,0.363803437554
1,76,0.0
1,77,0.121267812518
1,78,0.309993703317
1,79,0.0
1,80,0.120385853086
1,81,0.311804782231
1,82,0.242535625036
1,83,0.342997170285
1,84,0.0
1,85,0.0
1,86,0.0
1,87,0.417028828114
1,88,0.259690989264
1,89,0.556458928429
1,90,0.398136559683
1,91,0.494974746831
1,92,0.0731272424127
1,93,0.136082763488
1,94,0.0857492925713
1,95,0.121267812518
1,96,0.503100435149
1,97,0.211288563682
1,98,0.16552117772
1,99,0.119522860933
1,100,0.170251306152
1,101,0.0
1,102,0.119522860933
1,103,0.171498585143
1,104,0.0614940046268
1,105,0.0
1,106,0.0542326144547
1,107,0.344031231028
1,108,0.207019667803
1,109,0.379628301183
1,110,0.300964632714
1,111,0.109544511501
1,112,0.38490017946
1,113,0.0374634324633
1,114,0.081348921682
1,115,0.373878250553
1,116,0.0
1,117,0.255376959228
1,118,0.0
1,119,0.117041147196
1,120,0.145190801728
1,121,0.0554273995474
1,122,0.235702260396
1,123,0.565320819417
1,124,0.170251306152
1,125,0.0601929265429
1,126,0.385026770543
1,127,0.118678165819
1,128,0.326598632371
1,129,0.198029508595
1,130,0.0
1,131,0.161514570617
1,132,0.52068743927
1,133,0.476289672208
1,134,0.112594337278
1,135,0.178017248729
1,136,0.0
1,137,0.257247877714
1,138,0.335578027607
1,139,0.342997170285
1,140,0.416666666667
1,141,0.366120918416
1,142,0.388465484433
1,143,0.0538381902058
1,144,0.0
1,145,0.170251306152
1,146,0.108465228909
1,147,0.0
1,148,0.533113989983
1,149,0.177122977108
1,150,0.508881689076
1,151,0.210042012604
1,152,0.0
1,153,0.0
1,154,0.0851256530759
2,3,0.776886035766
2,4,0.812078494297
2,5,0.0
